,ObjectName,NameSummer,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
314,Спортивная школа олимпийского резерва по теннису «Олимпиец»,зал тренажерный,"улица Удальцова, дом 54",район Проспект Вернадского,Западный административный округ,37.49117411531828,55.686264159616144,1900026.3024602951,6402994.450744682
315,Фитнес клуб «Мой фитнес»,зал тренажерный,"Петрозаводская улица, дом 15, корпус 5",район Ховрино,Северный административный округ,37.49412292513631,55.86370015126139,1893654.930011577,6422187.330631929
316,Фитнес клуб «Эйс»,зал тренажерный,"Флотская улица, дом 15, корпус 2",район Ховрино,Северный административный округ,37.505175,55.857483,1894554.7556961202,6421746.864825013
317,Фитнес клуб «Спортивно-оздоровительный комплекс Газпром Трансгаз Москва»,зал тренажерный,"посёлок Газопровод, дом 101, корпус 9",поселение Сосенское,Новомосковский административный округ,37.47790558954372,55.580486201907085,1903115.0687099406,6391308.567098792
318,Объединенный санаторий и дом отдыха «Десна»,зал тренажерный,"посёлок Воскресенское, дом 26",поселение Воскресенское,Новомосковский административный округ,37.41402425284107,55.5207290218821,1901404.3932258268,6383529.917433308
319,Фитнес клуб «СпортЛэнд»,зал тренажерный,"город Московский, Солнечная улица, дом 5, строение 1",поселение Московский,Новомосковский административный округ,37.36883,55.589889,1896104.043124491,6390053.703587399
320,Спортивно-оздоровительный центр «Локомотив»,зал тренажерный,"рабочий посёлок Киевский, дом 15",поселение Киевский,Троицкий административный округ,36.867775867961036,55.4323064951245,1871095.3488402516,6362743.963629289
321,Физкультурно-оздоровительный комплекс «Локофитнес»,зал тренажерный,"рабочий посёлок Киевский, дом 3, строение 1",поселение Киевский,Троицкий административный округ,36.86649416204028,55.42791638428596,1871173.417852186,6362243.299954086
322,Физкультурно-оздоровительный комплекс «Прометей»,зал тренажерный,"посёлок Коммунарка, Фитарёвская улица, дом 12, строение 1",поселение Сосенское,Новомосковский административный округ,37.47930426614564,55.57009330437719,1903583.2547054503,6390216.5912463935
323,Фитнес клуб «Белые медведи»,зал тренажерный,"улица Острякова, дом 6, строение 2",Хорошёвский район,Северный административный округ,37.52682682347276,55.80020761302537,1897986.3809131947,6416023.177411524
324,Комплекс спортивных сооружений «Будь Здоров»,зал тренажерный,"посёлок завода Мосрентген, дом 39","поселение ""Мосрентген""",Новомосковский административный округ,37.47698122241838,55.618260304741476,1901667.3881799104,6395364.03551976
325,Фитнес клуб «Паллада»,зал тренажерный,"улица Маршала Бирюзова, дом 7",район Щукино,Северо-Западный административный округ,37.497168445671846,55.791016162286006,1896524.8003778183,6414414.749337322
326,Фитнес клуб «Юфит ВДНХ»,зал тренажерный,"улица Касаткина, дом 11, строение 12",Алексеевский район,Северо-Восточный административный округ,37.66070050181707,55.825925056095095,1905156.7944925847,6421591.975559438
327,Физкультурно-оздоровительный комплекс «Комета»,зал тренажерный,"Строгинский бульвар, дом 3, корпус 1",район Строгино,Северо-Западный административный округ,37.39789106394075,55.805441099564305,1889962.9357209224,6413909.476973598
328,Комплекс спортивных сооружений «Русская теннисная академия»,зал тренажерный,"вблизи деревни Рогозинино, дом 7Б/Н",поселение Первомайское,Троицкий административный округ,37.18605210893434,55.54001103507763,1886742.5449542454,6380891.348478164
