,ParkingName,CarCapacity,Address,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
6607,Парковка №4027 (150),3,"город Москва, Мироновская улица, дом 27, строение 2",район Соколиная Гора,Восточный административный округ,55.7875934148539,37.7300991644375,1910796.7453386807,6418918.815000752
6608,Парковка №4027 (151),2,"город Москва, Ткацкая улица, дом 25, строение 1",район Соколиная Гора,Восточный административный округ,55.7872013348322,37.7301272723591,1910813.0872819542,6418877.164240578
6609,Парковка №4027 (152),7,"город Москва, Ткацкая улица, дом 25, строение 1",район Соколиная Гора,Восточный административный округ,55.7868809077715,37.7301568039614,1910826.8409746226,6418843.263156556
6610,Парковка №4027 (153),8,"город Москва, Ткацкая улица, дом 18, корпус 4",район Соколиная Гора,Восточный административный округ,55.7860732416959,37.7301467018958,1910856.3761463051,6418756.034091049
6611,Парковка №4027 (154),21,"город Москва, Ткацкая улица, дом 18, корпус 2",район Соколиная Гора,Восточный административный округ,55.7850387160508,37.7302613909405,1910901.9552576814,6418646.988151516
6612,Парковка №4027 (155),2,"город Москва, Зверинецкая улица, дом 13",район Соколиная Гора,Восточный административный округ,55.7845468905019,37.7304236701191,1910930.1660314067,6418597.412916269
6613,Парковка №4027 (156),2,"город Москва, улица Ибрагимова, дом 16",район Соколиная Гора,Восточный административный округ,55.7840077089282,37.7304867331619,1910954.1210535783,6418540.648646537
6614,Парковка №4027 (157),6,"город Москва, улица Ибрагимова, дом 15, корпус 1",район Соколиная Гора,Восточный административный округ,55.7837777448841,37.7304210078164,1910958.7146858824,6418514.49007488
6615,Парковка №4027 (158),1,"город Москва, улица Ибрагимова, дом 12",район Соколиная Гора,Восточный административный округ,55.783855413959,37.7304934401077,1910960.2130444213,6418524.38163853
6616,Парковка №4027 (159),3,"город Москва, улица Ибрагимова, дом 12",район Соколиная Гора,Восточный административный округ,55.7833603329314,37.7305463629618,1910981.9062679913,6418472.155356089
6617,Парковка №4027 (160),3,"город Москва, Щербаковская улица, дом 35",район Соколиная Гора,Восточный административный округ,55.7832261578704,37.7304645546539,1910981.9478057274,6418455.978644916
6618,Парковка №4042 (91),7,"город Москва, Измайловский проспект, дом 57",район Измайлово,Восточный административный округ,55.7881251891368,37.7812762408579,1913883.3573847655,6420053.76415474
6619,Парковка №4042 (92),8,"город Москва, Измайловский проспект, владение 54",район Измайлово,Восточный административный округ,55.788538400158,37.7852553346106,1914109.404703137,6420182.169943757
6620,Парковка №4025 (193),5,"город Москва, 2-й Полевой переулок, дом 2, корпус 3",район Сокольники,Восточный административный округ,55.7926072497864,37.6821759303625,1907700.538716581,6418452.214222538
6621,Парковка №4025 (194),4,"город Москва, 2-й Полевой переулок, дом 2, строение 3",район Сокольники,Восточный административный округ,55.7922277116597,37.6832401648498,1907779.2825910812,6418433.651483232
6622,Парковка №4025 (195),2,"город Москва, 2-й Полевой переулок, дом 4",район Сокольники,Восточный административный округ,55.7920060706281,37.6838269219558,1907823.1592437346,6418422.08303714
6623,Парковка №4025 (196),8,"город Москва, улица Стромынка, дом 5",район Сокольники,Восточный административный округ,55.7914975670354,37.6848748682927,1907905.72029848,6418389.28415428
6624,Парковка №4025 (197),4,"город Москва, 2-й Полевой переулок, дом 4",район Сокольники,Восточный административный округ,55.7915621688042,37.6812562728599,1907683.634524845,6418320.304283145
6625,Парковка №4025 (198),17,"город Москва, 2-й Полевой переулок, дом 4",район Сокольники,Восточный административный округ,55.7918399516321,37.6825866835644,1907754.0549847165,6418378.155204366
6626,Парковка №4025 (199),7,"город Москва, 2-й Полевой переулок, дом 2, строение 4",район Сокольники,Восточный административный округ,55.79183284,37.6822869808005,1907736.1255029514,6418371.0994645525
6627,Парковка №4025 (200),1,"город Москва, 2-й Полевой переулок, дом 2, строение 3",район Сокольники,Восточный административный округ,55.7919503765515,37.6828535409759,1907766.142158241,6418395.654066791
6628,Парковка №4025 (201),9,"город Москва, Попов проезд, дом 2",район Сокольники,Восточный административный округ,55.7833467294349,37.6969723352626,1908943.91517364,6417765.0086385375
6629,Парковка №4025 (202),7,"город Москва, Попов проезд, дом 4",район Сокольники,Восточный административный округ,55.7840171415256,37.6968223048661,1908909.8191675346,6417834.094843965
6630,Парковка №4025 (203),2,"город Москва, Попов проезд, дом 4, строение 2",район Сокольники,Восточный административный округ,55.7844530471102,37.6967639795704,1908890.0315342087,6417879.8388621565
6631,Парковка №4025 (204),9,"город Москва, Попов проезд, дом 4, строение 1",район Сокольники,Восточный административный округ,55.784952005401,37.6967538501737,1908870.820251451,6417933.388988707
6632,Парковка №4025 (205),5,"город Москва, Попов проезд, дом 4",район Сокольники,Восточный административный округ,55.7855294266716,37.6967807502318,1908850.9328348,6417996.171118085
